GEO_ID,Division,Population,Male(%),Female(%),Median_age,Hispanic+Latino(%),White(%),Black(%),Amr_Indian+Alaska(%),Asian(%),Hawaiian(%),Other_race(%),More_races(%),Housing_units,Household_Median_Income (dollar) ,<9th_grade(%) ,High_school_or_higher(%),Bachelor_or_higher(%),Population_(16yr<),In_labor_force(%),Household_with_children (6~ 17yr),All_parents_in_labor_force_with_child(6~17yr)(%),Workers (16yr<),Mean_Commuting_time (minutes),With_health_insurance(%),Private_health_insurance(%),With_public_coverage(%),Num_Households,computing_devices>=1(%),Internet_access(%)
0500000US51109,Louisa County,37136,0.5,0.5,45,3.3,76.8,13.7,0.2,0.5,0,0.1,5.3,17409,70974,3.67,89,26,"30,428",60.7,"4,428",75.6,"16,900",35.3,92.2,69.1,38.9,14192,92.69,83
0500000US51111,Lunenburg County,11982,0.53,0.47,44,5.5,58.6,33.3,0,0.4,0,0,2.2,5880,47269,6.6,80,12,"9,793",50,"1,395",71.8,"4,553",32.6,90.5,63,45.7,4304,66.64,59.29
0500000US51113,Madison County,13731,0.49,0.51,47,3.1,84.7,7.4,0,0.8,0,0.1,3.9,6036,72349,4.1,88,25,"11,260",60.4,"1,782",78,"6,386",28.7,94.2,68.3,39.6,5175,91.73,81.1
0500000US51115,Mathews County,8548,0.49,0.51,53,2.9,84.6,9.3,0,0,0,0,3.1,5502,73229,2.13,93,30,"7,484",49,830,72.8,"3,296",38.7,89.8,66.5,45.1,3558,88.36,72.48
0500000US51117,Mecklenburg County,30347,0.5,0.5,48,3,60.3,33.9,0.4,0.9,0,0,1.4,19003,46378,5.36,86,22,"25,303",51.5,"3,605",70.4,"12,292",24.9,91.8,65.5,45.3,12655,76.79,68.83
0500000US51119,Middlesex County,10686,0.51,0.49,55,3,77.8,14.6,0.2,1.4,0.1,1.3,1.6,7125,63782,4.56,88,27,"9,206",53.3,"1,068",67.5,"4,507",29.3,93.4,67.5,51.3,4579,85.78,71.92
0500000US51121,Montgomery County,99294,0.52,0.48,30,3.5,83.3,4.1,0.3,6.5,0.2,0.3,1.9,41085,60666,1.51,94,46,"85,706",55.1,"10,064",71.8,"44,417",18.1,94.1,79.9,24.4,35533,94.82,90.01
0500000US51125,Nelson County,14795,0.5,0.5,52,4.5,81,12.3,0,0.2,0,0.4,1.5,9902,67707,4.39,84,30,"12,458",57.3,"1,686",72.6,"6,521",31.7,91.8,65.5,44,6149,88.99,74.78
0500000US51127,New Kent County,22519,0.51,0.49,42,3.8,77.6,12.7,0.8,1,0,0,4.1,8919,101628,1.45,93,33,"18,505",64.9,"3,154",81.5,"11,439",32.2,95.6,85.4,24.4,8306,93.9,85.36
0500000US51131,Northampton County,12226,0.48,0.52,51,9.3,54.9,31.9,0,1.1,0,0,2.9,7364,50347,6.1,86,28,"10,118",51.8,"1,372",80.1,"4,837",24.3,89.2,62.9,46.4,5292,88.78,81.75
0500000US51133,Northumberland County,11965,0.47,0.53,60,3.9,68.3,21.7,0,0.3,0,0,5.8,8986,61291,3.51,90,34,"10,484",42.3,"1,262",74.9,"4,023",35.1,91.8,71.7,51.5,5127,86.23,79.5
0500000US51135,Nottoway County,15667,0.55,0.45,41,4.8,54.2,39.6,0.1,0.4,0,0,1,6639,54614,5.98,83,16,"12,981",47.5,"1,938",75.1,"5,688",32.4,86.6,59.3,41.8,5309,75.53,67.9
0500000US51137,Orange County,36001,0.5,0.5,43,5.6,77.1,12.6,0,1.4,0,0.2,3.2,15529,79211,3.49,90,26,"29,204",61.4,"4,878",67.4,"16,747",38.6,92.9,74,35.2,13970,91.66,85.4
0500000US51139,Page County,23734,0.5,0.5,45,2.2,92.9,1.2,0.1,0.4,0,0.4,2.8,11750,53168,5.92,83,15,"19,419",59.2,"3,094",75.1,"10,693",33.6,87.6,65.1,39.3,9355,79.68,74.35
0500000US51141,Patrick County,17661,0.5,0.5,50,3.3,89.6,5.7,0.1,0.4,0,0.1,0.8,10014,47215,6.73,83,16,"14,894",53.3,"1,696",72.3,"7,609",32,91.8,60.8,45.4,7732,81.85,74.56
0500000US51143,Pittsylvania County,60833,0.49,0.51,48,2.8,73.8,19.8,0.1,0.4,0,0,3.1,29656,49486,5.7,84,14,"50,990",54.5,"7,355",74.4,"25,913",25.2,92.4,62.4,44.8,24663,84.24,73.5
0500000US51145,Powhatan County,29979,0.53,0.47,46,2.4,85.3,9.1,0.1,0.2,0,0.3,2.6,11415,101395,1.91,91,31,"25,367",59.6,"3,642",84.3,"14,631",32.8,95.1,83.4,27,10722,96.52,91.31
0500000US51147,Prince Edward County,21887,0.51,0.49,32,3.3,60.8,31,0.3,0.9,0.6,0.1,3.1,9119,49019,5.6,86,25,"18,876",44.6,"1,868",73.6,"7,679",21.8,91.7,70.6,35,7113,81.89,74.33
0500000US51149,Prince George County,42170,0.54,0.46,37,8.7,54.1,30,0.4,1.5,0.4,0.5,4.4,13239,78895,3.01,89,24,"33,708",57,"6,195",73.3,"17,807",25.8,94.9,79.6,32.8,12492,94.32,88.44
0500000US51153,Prince William County,477224,0.5,0.5,36,24.5,40.8,20.3,0.2,9.4,0.1,0.4,4.3,156845,113831,5.72,90,43,"363,139",72.9,"84,215",74.1,"248,009",39.2,89.5,78.1,22.3,150488,98.08,96.01
0500000US51155,Pulaski County,33893,0.5,0.5,47,1.9,90.2,4.9,0,0.6,0.2,0.2,2,17016,55446,3.63,89,20,"28,651",54.8,"3,629",73.3,"14,846",24.7,93.1,67.2,40.6,14534,86.93,74.91
0500000US51157,Rappahannock County,7400,0.51,0.49,48,4,87.9,4,0.3,0.5,0,0.2,3.1,3843,90307,3.35,92,32,"6,138",59.6,791,52.3,"3,451",40.8,86.5,67.2,38.7,2773,96.25,85.68
0500000US51159,Richmond County,8902,0.58,0.42,44,7.4,60.2,27.1,0.4,0,0,0,4.9,3934,57697,6.68,78,17,"7,601",42.6,964,36.3,"3,127",28.2,93.9,73.3,40.3,2811,80.79,74.96
0500000US51161,Roanoke County,96303,0.48,0.52,44,3.3,84.9,5.8,0.1,3.6,0,0.1,2.1,42007,74622,2.41,94,37,"79,209",61,"13,193",77.5,"46,087",22.8,95.2,78.4,32.9,39087,91.87,86.8
